Customer ID,Marketing Date,Marketing Channel,Marketing Spend,Revenue Generated,Website Visits,Conversions,Email Sent,Email Opened,Email Clicked,Social Likes,Social Shares,Social Comments
CUST8470,2024-03-01,Referral,703.13,1150.03,3862,208,415,219,122,86,100,43
CUST3306,2024-02-06,Direct,719.59,1229.08,8665,277,2487,222,151,596,456,39
CUST2192,2024-02-27,Referral,541.71,419.32,5757,317,1742,1558,379,93,492,259
CUST1115,2024-12-05,Social Media,457.07,1521.17,218,401,297,194,101,306,489,41
CUST2984,2024-10-04,Referral,980.26,1273.57,8943,74,129,124,120,152,217,159
CUST9557,2024-12-20,Email,584.76,1277.16,758,233,2512,1786,1274,127,148,25
CUST6928,2024-04-09,Referral,141.14,1612.0,8982,133,3587,1282,980,846,150,179
CUST5004,2024-03-06,Email,468.64,1831.19,280,470,2520,1384,976,291,308,129
CUST5303,2024-12-21,Social Media,826.91,1667.37,1628,38,1555,805,496,136,66,196
CUST6602,2024-10-08,Email,481.02,1931.68,7338,203,4298,3631,3179,89,43,242
CUST4543,2024-02-03,Email,483.46,1509.09,9597,407,1478,1006,1001,699,420,64
CUST3921,2024-12-15,Social Media,833.47,1520.07,8396,369,4558,498,476,810,329,298
CUST5312,2024-08-08,Social Media,786.05,887.7,8300,89,3594,3241,2955,402,168,243
CUST3890,2024-02-14,Direct,473.98,1771.39,7633,301,4981,1895,1727,101,382,147
CUST7808,2024-08-21,Direct,558.84,874.04,4214,113,268,109,95,612,294,166
CUST5919,2024-09-27,Direct,624.61,1940.01,9594,160,4295,4073,1974,311,427,120
CUST7317,2024-01-02,Referral,931.94,301.51,2076,255,791,170,136,964,117,30
CUST4554,2024-07-12,Email,162.09,1793.28,7282,33,4239,3237,1153,805,73,172
CUST7009,2024-03-11,Search,856.11,1367.94,8298,127,3026,2690,959,373,326,136
CUST8464,2024-12-25,Direct,134.9,828.94,3434,330,4381,3180,1618,707,169,201
CUST4166,2024-01-08,Referral,989.71,528.8,2687,401,4706,1927,903,272,341,103
CUST3965,2024-02-27,Direct,774.6,1378.56,7017,366,4263,3140,1704,845,403,254
CUST2042,2024-03-08,Email,255.91,1931.43,7410,165,799,251,239,676,450,61
CUST6051,2024-06-25,Direct,863.18,1689.73,6961,433,2794,1842,870,879,392,221
CUST1790,2024-09-14,Email,261.84,922.93,4842,214,4161,2656,719,785,178,267
CUST5441,2024-01-15,Email,360.67,954.47,2424,116,4414,2319,1888,386,299,82
CUST6160,2024-02-27,Search,237.04,1972.21,7054,477,579,301,130,108,143,258
CUST7728,2024-10-18,Email,193.48,952.17,367,372,4932,4206,1943,707,92,50
CUST2652,2024-01-24,Social Media,555.58,1479.46,6867,499,3089,1171,307,237,152,25
CUST1909,2024-02-07,Search,640.13,1507.21,9639,438,4653,3148,1363,773,346,39
CUST9495,2024-09-04,Referral,817.47,357.52,6989,443,3934,2359,1771,779,27,289
CUST1194,2024-07-25,Referral,200.95,1403.36,4015,10,1323,1196,418,644,274,235
CUST6664,2024-10-12,Social Media,228.52,1600.87,4959,333,1313,756,729,145,403,268
CUST7256,2024-01-29,Email,973.92,1239.03,2529,191,1394,1258,912,436,344,54
CUST5171,2024-10-01,Search,510.53,1534.61,453,232,755,727,585,399,126,66
CUST5341,2024-08-29,Direct,727.32,935.61,910,92,341,90,59,161,489,153
CUST8155,2024-06-08,Search,652.27,1479.59,8436,246,4193,353,126,774,83,235
CUST5455,2024-12-21,Email,809.62,1972.0,8711,414,1302,446,425,220,350,202
CUST3011,2024-08-08,Social Media,788.72,1773.04,8598,220,2447,448,32,912,349,91
CUST1361,2024-05-27,Referral,332.02,386.89,7527,410,1556,230,110,693,43,222
CUST1452,2024-10-16,Social Media,342.38,584.86,1612,144,3111,1283,794,161,256,139
CUST3012,2024-05-12,Search,539.1,1920.31,9228,232,4672,3493,1039,252,478,167
CUST6780,2024-11-18,Search,218.09,264.1,6426,292,3489,669,270,757,338,290
CUST2767,2024-11-09,Direct,467.19,1117.61,1974,395,3072,1326,1270,957,151,15
CUST9072,2024-10-25,Email,369.68,1926.09,6382,124,817,294,209,641,353,154
CUST7318,2024-03-24,Direct,677.61,857.08,1013,362,3787,189,50,544,451,19
CUST7732,2024-07-22,Direct,223.08,567.88,7012,277,3078,2257,748,506,348,44
CUST1541,2024-08-21,Referral,176.81,1528.44,1832,221,4762,1045,627,921,493,104
CUST7392,2024-06-27,Social Media,438.15,1827.08,7996,101,3187,2128,987,891,60,82
CUST3974,2024-04-25,Referral,143.28,960.03,1734,258,596,115,21,112,313,94
CUST7197,2024-07-19,Social Media,436.0,1328.17,8528,52,3560,1407,900,461,19,168
CUST6366,2024-10-15,Email,904.9,1584.01,6852,168,1730,263,156,992,151,137
CUST2268,2024-03-13,Email,862.67,711.42,9983,217,3581,1514,1056,27,85,218
CUST5408,2024-05-31,Direct,696.19,509.14,2179,290,2539,2515,1028,748,372,179
CUST2131,2024-07-20,Direct,364.23,1830.41,2269,89,3210,294,91,889,93,300
CUST1608,2024-02-26,Referral,213.17,274.07,3675,464,3500,118,115,621,495,283
CUST4731,2024-11-08,Direct,525.22,951.38,5809,304,2074,626,171,318,53,287
